Model,Mean Absolute Error,Root Mean Squared Error,R^2 Score
LinearRegression,3520.18,4613.03,0.48795043546964045
DecisionTreeRegressor,2441.34,3803.8,0.6518425549427176
RandomForestRegressor,1851.48,3199.64,0.753656305520868
Ridge,3513.59,4609.25,0.4887885662718575
Lasso,3517.98,4616.35,0.487213954409519
