Model,Mean Absolute Error,Root Mean Squared Error,R^2 Score
LinearRegression,3639.59,4995.8,0.5022647836595071
DecisionTreeRegressor,2691.79,4140.79,0.6580567079222155
RandomForestRegressor,1597.75,3188.99,0.7971874701322849
Ridge,3637.09,4995.57,0.5023103255359438
Lasso,3634.55,4995.54,0.5023160666292008
