Model,Mean Absolute Error,Root Mean Squared Error,R^2 Score
LinearRegression,3636.41,4807.77,0.4737029974741498
DecisionTreeRegressor,2624.86,3897.49,0.6541288992258456
RandomForestRegressor,1729.25,3104.98,0.7804865265337897
Ridge,3633.46,4811.16,0.47296030557523816
Lasso,3634.19,4822.0,0.47058158254725957
