Model,Mean Absolute Error,Root Mean Squared Error,R^2 Score
LinearRegression,3994.07,5361.73,0.442359152339997
DecisionTreeRegressor,2312.75,4295.79,0.6420427751175559
RandomForestRegressor,1730.37,3513.22,0.7605833027564186
Ridge,3968.53,5367.54,0.44115060016797225
Lasso,3988.48,5359.23,0.44287927625506873
