Model                 ,Mean Absolute Error ,Root Mean Squared Error ,R^2 Score
LinearRegression      ,            3455.46 ,                4312.71 ,0.5531909279269807
DecisionTreeRegressor ,            2477.46 ,                3586.54 ,0.6909891876603684
RandomForestRegressor ,            1720.41 ,                2912.11 ,0.7962778483597885
Ridge                 ,            3455.05 ,                4314.41 ,0.552837355995122
Lasso                 ,            3454.5  ,                4314.37 ,0.5528470620291801
