Model,Mean Absolute Error,Root Mean Squared Error,R^2 Score
LinearRegression,3725.68,4651.76,0.4890715567450382
DecisionTreeRegressor,2462.54,3784.11,0.661892865662172
RandomForestRegressor,1410.01,2825.33,0.8115202962505061
Ridge,3706.76,4637.2,0.49226475666063274
Lasso,3715.86,4643.49,0.4908864014883525
